Symbol	Liver_d16_Cyt49	Liver_d5_Cyt49	Liver_d8_Cyt49	Panc_d12_Cyt49	Panc_d5_Cyt49	Panc_d8_Cyt49	ESC_Cyt49
KLF12	168.5238148	196.1811198	225.0972392	158.3338627	242.5733823	185.3076919	139.8787078
KLF13	569.1614002	254.7331819	395.2905454	386.8308077	226.1328184	404.5122063	464.6958045
KLF14	87.68221589	88.50054517	87.81969802	89.4684945	89.10340098	91.45571485	91.92870332
KLF15	321.8194115	364.9490216	198.0513396	155.9544337	287.8763304	135.7796031	159.5508894
KLF16	105.083803	100.4445264	108.083107	122.396118	110.4535325	106.285978	103.0125433
KLF17	96.10010288	92.35959251	97.13511824	97.32652896	88.95307123	91.90242798	94.59651316
KLF2	950.8620983	219.7069991	1012.053854	430.7515008	201.6324765	584.4690214	220.6954637
KLF3	151.2003493	119.5213817	131.7912777	151.0774146	129.3867207	151.947199	125.4380506
KLF4	122.0905348	116.6070242	130.1735836	188.1910028	111.7569536	128.8686343	148.6150204
KLF5	363.7716102	151.6634939	609.3381365	306.8638506	125.7259546	204.619151	108.9690712
KLF6	950.9717543	564.2634687	733.0427782	687.933807	335.4259264	913.7756636	427.9792764
KLF7	122.3151871	125.4715367	118.3878164	116.5649285	124.978071	121.6133337	116.9578369
KLF8	97.80076275	166.7098243	122.0422972	95.00390135	110.9648504	99.73844934	114.2800605
KLF9	138.5442307	105.9818481	337.5929451	122.015529	95.40517206	110.6270462	161.1701501
KLHDC1	99.70521111	96.08686853	98.04812188	106.0335365	97.812974	99.00526394	96.35556983
KLHDC10	159.5696708	130.7328916	152.772983	175.5212417	141.3287987	168.2958613	124.8885125
KLHDC2	3449.93266	2069.719488	2221.745712	3392.189439	2033.547657	3135.290245	1895.618385
KLHDC3	2562.085371	3636.103505	2790.678789	2884.249516	3749.323891	3054.926045	3616.705026
KLHDC4	292.200917	429.0806838	291.2871128	328.4165675	412.682248	309.5527606	481.1229708
KLHDC5	649.1458849	722.6459947	1027.894658	1338.331992	918.2222788	1183.020407	768.2572229
